ElimB	EunlBeff	EunlB
0.93961	0.94247	0.95898
0.95647	0.95890	0.97161
0.96785	0.97007	0.98105
0.98073	0.98155	0.98749
0.97463	0.98439	0.99218
0.99077	0.99216	0.99554
0.59105	0.63154	0.79582
0.63772	0.67732	0.83029
0.75286	0.77935	0.88651
0.81495	0.84046	0.92571
0.87409	0.89342	0.94672
0.91419	0.92620	0.96320
0.93506	0.94608	0.97442
0.94961	0.95954	0.98248
0.97067	0.97581	0.98778
0.95798	0.97583	0.99151
0.98647	0.98787	0.99408
0.66092	0.65585	0.65593
0.66092	0.65585	0.65593
0.78042	0.78661	0.78694
0.81243	0.81920	0.81966
0.87086	0.87399	0.87454
0.91368	0.91458	0.91501
0.93918	0.93768	0.93804
0.95795	0.95683	0.95706
0.96995	0.97041	0.97062
0.98128	0.98058	0.98070
0.98537	0.98734	0.98743
0.99081	0.99205	0.99211
0.99501	0.99515	0.99519
0.99689	0.99708	0.99710
0.65858	0.65384	0.65415
0.65858	0.65384	0.65415
0.77876	0.78465	0.78549
0.81057	0.81746	0.81838
0.87109	0.87283	0.87368
0.91429	0.91378	0.91458
0.93918	0.93732	0.93783
0.95656	0.95648	0.95698
0.97143	0.97023	0.97058
0.98161	0.98042	0.98063
0.98503	0.98714	0.98729
0.99023	0.99182	0.99191
0.99438	0.99486	0.99492
0.99698	0.99675	0.99679
0.65898	0.65217	0.65293
0.65898	0.65217	0.65293
0.78074	0.78558	0.78696
0.81236	0.81860	0.82020
0.87228	0.87395	0.87534
0.91343	0.91426	0.91536
0.93940	0.93710	0.93787
0.95837	0.95572	0.95636
0.97181	0.96912	0.96958
0.98077	0.97912	0.97949
0.98530	0.98600	0.98624
0.98986	0.99095	0.99111
0.99301	0.99438	0.99450
0.99655	0.99674	0.99681
0.65675	0.65445	0.65596
0.65675	0.65445	0.65596
0.78033	0.78612	0.78829
0.81230	0.81829	0.82096
0.87110	0.87355	0.87563
0.91429	0.91410	0.91595
0.93848	0.93746	0.93888
0.95834	0.95679	0.95778
0.97048	0.97053	0.97120
