B	BB05x	Beff	ElimB	EunlBeff	EunlB	pfull
365	44.75233	44.56069	0.97643	0.97623	0.97634	0.00428
8	0.51305	0.51085	0.36375	0.36634	0.36709	0.00429
68	8.33742	8.30119	0.88258	0.88302	0.88347	0.00435
239	46.69793	46.49453	0.97607	0.97768	0.97777	0.00436
29	1.22986	1.22447	0.53712	0.5405	0.54145	0.00438
157	30.67605	30.54074	0.96338	0.96643	0.96657	0.00441
68	13.28644	13.22773	0.93023	0.92678	0.92708	0.00442
157	8.89922	8.85982	0.88608	0.88767	0.88811	0.00443
2	2	1.99108	0.65776	0.65318	0.65415	0.00446
2	2	1.99108	0.65776	0.65318	0.65415	0.00446
103	5.83834	5.81229	0.83753	0.83826	0.83886	0.00446
103	2.46029	2.44925	0.69161	0.67673	0.67756	0.00449
68	14.09034	14.02611	0.93135	0.93021	0.93051	0.00456
44	5.3948	5.37009	0.8292	0.82897	0.82963	0.00458
157	1.71238	1.7045	0.60252	0.6046	0.60548	0.00461
157	3.24655	3.23153	0.72444	0.72851	0.72927	0.00463
5	0.61305	0.61019	0.40577	0.40666	0.40746	0.00465
19	0.69483	0.69155	0.4175	0.42284	0.42377	0.00472
68	0.87078	0.86666	0.47042	0.46984	0.47078	0.00474
365	20.68926	20.59109	0.94976	0.94915	0.94939	0.00475
8	0.33927	0.33766	0.29379	0.29644	0.29716	0.00476
68	1.75961	1.7512	0.61227	0.61224	0.61322	0.00478
68	1.62427	1.61647	0.61571	0.5963	0.59727	0.0048
103	20.12505	20.02804	0.94555	0.94996	0.95018	0.00482
239	4.9422	4.91815	0.7907	0.79206	0.79273	0.00487
13	0.55131	0.54861	0.37433	0.37753	0.37843	0.00491
13	1.47109	1.46382	0.57682	0.57783	0.57891	0.00494
2	2	1.99008	0.65818	0.65485	0.65593	0.00496
2	2	1.99008	0.65818	0.65485	0.65593	0.00496
13	0.83371	0.82956	0.45933	0.45844	0.45946	0.00498
44	1.40476	1.39767	0.56829	0.56813	0.56922	0.00505
239	13.54722	13.4786	0.92273	0.92358	0.92394	0.00506
365	4.67403	4.64994	0.78568	0.78423	0.78505	0.00515
157	3.75015	3.73077	0.758	0.74896	0.74979	0.00517
44	0.57044	0.56748	0.38582	0.38449	0.38547	0.00519
103	21.34273	21.23197	0.95123	0.9526	0.95283	0.00519
19	0.32064	0.31897	0.28237	0.28367	0.28445	0.00521
365	71.31692	70.94295	0.98559	0.9853	0.98538	0.00524
4	4	3.97884	0.77876	0.78465	0.78549	0.00529
239	5.70883	5.67829	0.81627	0.80977	0.81047	0.00535
4	0.78156	0.77735	0.43455	0.43946	0.44073	0.00538
13	1.40891	1.4013	0.56657	0.56847	0.56966	0.0054
103	2.1299	2.11836	0.65098	0.65267	0.65372	0.00542
365	7.54772	7.50626	0.84666	0.84488	0.8455	0.00549
29	0.78858	0.78424	0.46898	0.44854	0.44965	0.0055
29	0.48939	0.4867	0.35281	0.3533	0.3543	0.00551
103	1.10963	1.10351	0.51756	0.5207	0.52187	0.00551
8	8	7.95552	0.87086	0.87399	0.87454	0.00556
44	4.5953	4.5692	0.81293	0.81572	0.81659	0.00568
365	8.7185	8.6684	0.86415	0.85975	0.86036	0.00575
4	4	3.97692	0.7788	0.78603	0.78694	0.00577
29	3.02872	3.01103	0.74274	0.7413	0.74248	0.00584
29	29	28.82687	0.95795	0.95683	0.95706	0.00597
239	3.06053	3.04223	0.71422	0.71329	0.71435	0.00598
157	2.78848	2.77166	0.69633	0.69976	0.70082	0.00603
239	4.24489	4.21906	0.76794	0.76777	0.76868	0.00608
103	10.75718	10.69102	0.90908	0.91031	0.91078	0.00615
157	16.39687	16.29525	0.93813	0.93763	0.93797	0.0062
365	38.1201	37.88386	0.97346	0.97217	0.97236	0.0062
13	13	12.91914	0.91368	0.91458	0.91501	0.00622
239	24.96084	24.80554	0.95871	0.95734	0.95759	0.00622
103	103	102.3585	0.98537	0.98734	0.98743	0.00623
5	0.5658	0.56218	0.39144	0.39416	0.39522	0.0064
68	68	67.561	0.98128	0.98058	0.9807	0.00646
68	7.10183	7.05593	0.87032	0.87231	0.87301	0.00646
13	2.69374	2.67607	0.72552	0.72518	0.72647	0.00656
5	5	4.9666	0.81057	0.81746	0.81838	0.00668
19	1.07698	1.06978	0.51397	0.51272	0.51414	0.00668
365	6.15961	6.11824	0.83367	0.83239	0.83325	0.00672
157	32.53212	32.31206	0.96735	0.96844	0.96865	0.00676
556	9.38286	9.31922	0.88082	0.8804	0.88109	0.00678
2	1.98807	1.97453	0.65675	0.65445	0.65596	0.00681
2	1.98807	1.97453	0.65675	0.65445	0.65596	0.00681
29	1.06052	1.05329	0.50234	0.50868	0.51012	0.00682
19	19	18.86985	0.93918	0.93768	0.93804	0.00685
44	2.82178	2.80239	0.71876	0.71796	0.7193	0.00687
556	108.63619	107.88892	0.99041	0.99029	0.99035	0.00688
29	0.37136	0.36877	0.31415	0.31301	0.31415	0.00697
365	75.63199	75.10381	0.98671	0.98664	0.98674	0.00698
157	1.178	1.16978	0.53153	0.53376	0.53519	0.00698
19	1.98433	1.97046	0.65102	0.64799	0.64962	0.00699
239	4.03328	4.00478	0.77208	0.77197	0.77309	0.00706
103	1.82939	1.8164	0.61875	0.62107	0.62247	0.0071
68	4.36093	4.32989	0.7981	0.79566	0.7968	0.00712
365	6.48278	6.43665	0.82767	0.82601	0.82691	0.00712
44	1.13857	1.13042	0.52473	0.52292	0.52436	0.00716
157	157	155.8645	0.99081	0.99205	0.99211	0.00723
365	365	362.352	0.99689	0.99708	0.9971	0.00725
157	2.01047	1.99587	0.63584	0.63548	0.63688	0.00726
29	3.14295	3.12004	0.74633	0.74322	0.74466	0.00729
19	3.93701	3.90819	0.79441	0.79288	0.79405	0.00732
556	115.20928	114.3621	0.99043	0.99142	0.99149	0.00735
103	1.12341	1.11516	0.5199	0.52233	0.52376	0.00735
8	1.65769	1.64547	0.6173	0.61998	0.62171	0.00737
44	1.051	1.04322	0.52983	0.50681	0.50833	0.0074
68	0.88159	0.87505	0.46868	0.47126	0.47283	0.00743
44	4.76861	4.7329	0.81439	0.81631	0.81746	0.00749
4	0.49044	0.48675	0.36886	0.36912	0.37033	0.00752
8	0.98087	0.97349	0.49072	0.4929	0.4944	0.00753
239	49.52341	49.14702	0.97774	0.97929	0.97945	0.0076
68	1.40615	1.39536	0.57019	0.5681	0.56971	0.00768
239	239	237.1545	0.99501	0.99515	0.99519	0.00772
44	44	43.65812	0.96995	0.97041	0.97062	0.00777
5	5	4.9606	0.81173	0.81858	0.81966	0.00788
365	39.55782	39.24618	0.9733	0.97284	0.97307	0.00788
157	2.64948	2.62818	0.69782	0.69923	0.70074	0.00804
239	25.90224	25.6941	0.95868	0.95851	0.95883	0.00804
68	7.36968	7.31007	0.87201	0.87303	0.87392	0.00809
29	6.00912	5.96038	0.85035	0.8525	0.8535	0.00811
19	2.05917	2.04245	0.65559	0.65302	0.65485	0.00812
103	11.16289	11.07115	0.90912	0.91143	0.91207	0.00822
157	4.2692	4.23379	0.77726	0.77127	0.77253	0.0083
103	6.60553	6.55057	0.85274	0.85457	0.8556	0.00832
239	6.49898	6.44477	0.83365	0.82848	0.8295	0.00834
44	0.33014	0.32736	0.28703	0.28519	0.28653	0.00841
8	8	7.93216	0.87109	0.87283	0.87368	0.00848
29	1.85981	1.84404	0.63192	0.63108	0.63292	0.00848
4	4	3.9658	0.78074	0.78558	0.78696	0.00855
13	2.57988	2.55774	0.71949	0.71708	0.71882	0.00858
13	0.3535	0.35044	0.31766	0.30316	0.30453	0.00865
44	0.74253	0.73603	0.43281	0.4334	0.4352	0.00875
157	17.01528	16.86648	0.93808	0.93894	0.93941	0.00875
103	2.80082	2.77595	0.71298	0.70158	0.70318	0.00888
365	9.92522	9.83685	0.87787	0.87432	0.87517	0.0089
13	2.54005	2.51732	0.71689	0.71467	0.71648	0.00895
157	10.06862	9.97816	0.89763	0.8998	0.90062	0.00898
157	4.68335	4.64114	0.80107	0.80044	0.80184	0.00901
365	23.40794	23.19688	0.95579	0.95554	0.95594	0.00902
5	1.03605	1.02654	0.50024	0.5064	0.50864	0.00918
2	0.24522	0.24297	0.26949	0.26972	0.27087	0.00918
2	0.24522	0.24297	0.26949	0.26972	0.27087	0.00918
8	1.58762	1.57301	0.60896	0.60945	0.61164	0.0092
103	4.36811	4.32788	0.78484	0.78736	0.78881	0.00921
68	0.51022	0.5055	0.36143	0.36181	0.3636	0.00924
2	2	1.98148	0.65616	0.65087	0.65293	0.00926
2	2	1.98148	0.65616	0.65087	0.65293	0.00926
8	1.56311	1.54864	0.60533	0.60698	0.60919	0.00926
103	3.76668	3.73176	0.75977	0.76066	0.76223	0.00927
239	15.32739	15.18531	0.93098	0.93245	0.93306	0.00927
44	9.11728	9.03222	0.89302	0.89653	0.89738	0.00933
44	0.56345	0.55817	0.3864	0.38517	0.3869	0.00936
103	3.07252	3.0434	0.72567	0.72771	0.72949	0.00948
19	3.71239	3.67712	0.78852	0.78449	0.78607	0.0095
157	5.01245	4.96443	0.81146	0.81131	0.81274	0.00958
8	0.90528	0.89661	0.47787	0.47712	0.47896	0.00958
19	19	18.81722	0.93918	0.93732	0.93783	0.00962
19	0.80577	0.798	0.44548	0.45018	0.45216	0.00964
157	2.03545	2.01582	0.64782	0.6483	0.65028	0.00964
29	3.28166	3.24992	0.75039	0.74723	0.74909	0.00967
68	1.84908	1.83115	0.64031	0.62247	0.62442	0.0097
103	0.63094	0.62482	0.4047	0.4061	0.40801	0.0097
29	0.92587	0.91688	0.47944	0.47915	0.48114	0.00971
19	2.15005	2.12907	0.66276	0.65989	0.66202	0.00976
29	5.66628	5.61063	0.84974	0.8462	0.84744	0.00982
44	2.49405	2.46948	0.69118	0.69194	0.69394	0.00985
8	0.86702	0.85842	0.46371	0.46793	0.4698	0.00992
68	14.09034	13.95037	0.93029	0.92987	0.93051	0.00993
103	11.65554	11.53927	0.91187	0.91346	0.91423	0.00998
239	7.12943	7.05815	0.85918	0.85856	0.85978	0.01
68	13.28644	13.15289	0.92753	0.92641	0.92708	0.01005
68	2.8838	2.85475	0.71445	0.71548	0.71737	0.01007
103	3.28842	3.25532	0.74084	0.74109	0.74293	0.01007
157	157	155.414	0.99023	0.99182	0.99191	0.0101
13	0.73688	0.7294	0.43433	0.43461	0.43659	0.01015
4	0.45264	0.44803	0.35932	0.35799	0.35957	0.01018
365	41.30361	40.88062	0.97465	0.97388	0.97416	0.01024
5	0.32066	0.31735	0.28731	0.2898	0.29133	0.01031
103	1.31897	1.30538	0.55195	0.55188	0.55396	0.01031
19	3.77059	3.73168	0.79064	0.78675	0.78847	0.01032
157	5.74145	5.68206	0.82579	0.82514	0.82657	0.01034
68	2.171	2.14849	0.65942	0.65961	0.66177	0.01037
68	3.85444	3.81442	0.77612	0.77373	0.77552	0.01038
239	27.04538	26.76446	0.96032	0.96015	0.96054	0.01039
157	6.65818	6.58893	0.84468	0.84658	0.84788	0.0104
68	7.69492	7.61401	0.87593	0.87499	0.87614	0.01051
157	30.67605	30.35278	0.96543	0.96623	0.96657	0.01054
29	0.6927	0.68533	0.44602	0.42298	0.42504	0.01065
68	2.02846	2.0068	0.6435	0.64441	0.64666	0.01068
29	5.75511	5.69353	0.84874	0.84851	0.84987	0.0107
239	7.63042	7.54869	0.86645	0.86669	0.86793	0.01071
103	5.83834	5.77551	0.83656	0.8374	0.83886	0.01076
68	1.20775	1.19464	0.53477	0.53569	0.53795	0.01085
8	0.51305	0.50747	0.36458	0.36518	0.36709	0.01087
44	4.97907	4.92484	0.81797	0.8186	0.82024	0.01089
19	3.52178	3.48329	0.78589	0.78226	0.78415	0.01093
19	2.32957	2.30409	0.67692	0.67509	0.67741	0.01094
44	8.59711	8.50297	0.8938	0.89178	0.89281	0.01095
157	17.76621	17.57135	0.9393	0.94087	0.94147	0.01097
68	68	67.2485	0.98161	0.98042	0.98063	0.01105
103	20.12505	19.9027	0.94752	0.94966	0.95018	0.01105
68	2.48674	2.45917	0.68175	0.68469	0.68686	0.01109
13	2.40964	2.38287	0.70985	0.70914	0.71151	0.01111
239	8.74017	8.64293	0.87631	0.87669	0.8779	0.01113
157	8.89922	8.79988	0.88628	0.88698	0.88811	0.01116
239	46.69793	46.17614	0.97674	0.97753	0.97777	0.01117
13	13	12.85453	0.91429	0.91378	0.91458	0.01119
103	1.73819	1.71872	0.61409	0.6146	0.61696	0.0112
365	10.88805	10.7658	0.9035	0.90339	0.90442	0.01123
13	0.47541	0.47005	0.34809	0.35145	0.35342	0.01126
103	103	101.838	0.98503	0.98714	0.98729	0.01128
19	0.51666	0.51078	0.3858	0.36676	0.36882	0.01138
5	5	4.94255	0.81236	0.8186	0.8202	0.01149
365	365	360.79951	0.99698	0.99675	0.99679	0.01151
157	1.69137	1.67186	0.60885	0.60937	0.61182	0.01154
239	239	236.239	0.99438	0.99486	0.99492	0.01155
44	8.73189	8.63086	0.89341	0.89408	0.89516	0.01157
5	0.97694	0.96563	0.48744	0.49166	0.49451	0.01158
8	8	7.9072	0.86987	0.87338	0.87454	0.0116
239	10.13571	10.01811	0.89172	0.89252	0.89363	0.0116
365	20.68926	20.44836	0.94759	0.9488	0.94939	0.01164
365	11.65315	11.51703	0.90897	0.90898	0.90998	0.01168
13	1.3577	1.34176	0.56103	0.5592	0.56185	0.01174
4	0.82884	0.81908	0.44645	0.45235	0.45514	0.01178
239	13.54722	13.38669	0.923	0.92309	0.92394	0.01185
44	4.48293	4.42972	0.80955	0.81254	0.8144	0.01187
